DeltaRight, ThetaRight, AlphaRight, BetaRight, GammaRight, DeltaLeft, ThetaLeft, AlphaLeft, BetaLeft, GammaLeft, Direction
85,118,67,77,37,84,116,67,76,37,Left
122,179,60,81,28,120,177,61,79,28,Forward
129,169,71,67,30,127,167,72,66,30,Forward
128,162,75,64,29,126,162,74,64,29,Forward
108,170,68,62,30,108,169,69,63,30,Forward
146,106,65,64,32,145,108,65,65,32,Forward
163,79,76,61,34,162,83,75,61,33,Forward
176,78,72,57,36,178,80,74,57,36,Forward
144,101,66,57,36,146,102,69,57,36,Forward
150,101,70,60,36,151,100,72,60,37,Forward
130,111,72,59,35,128,113,73,58,35,Forward
97,117,64,59,33,101,116,63,58,33,Forward
105,141,89,70,30,104,143,89,71,30,Backward
95,124,94,72,32,94,125,96,72,32,Backward
86,135,95,70,30,82,136,97,70,31,Backward
95,136,85,59,34,96,136,88,60,34,Backward
101,144,80,57,32,99,142,81,58,32,Backward
80,130,73,56,34,77,130,73,57,34,Backward
101,134,74,46,32,98,133,74,46,33,Backward
109,134,63,56,31,106,131,61,56,31,Backward
131,122,56,55,33,128,120,54,56,33,Backward
118,91,57,58,33,114,89,55,60,32,Backward
125,86,63,57,33,122,84,63,58,33,Backward
111,73,92,48,34,109,75,91,50,35,Right
111,114,74,49,34,111,116,74,51,34,Right
95,114,81,47,34,95,117,81,48,34,Right
96,128,75,49,33,95,131,73,49,34,Right
94,125,76,53,33,95,128,74,54,33,Right
111,124,55,54,35,111,126,52,54,34,Right
95,104,55,54,34,92,106,57,55,34,Right
114,86,67,58,31,114,88,67,57,32,Right
103,99,69,56,33,98,102,70,56,33,Right
96,116,80,60,31,97,118,81,61,32,Right
121,103,76,63,31,124,100,79,64,31,Left
115,101,81,65,32,119,97,81,66,32,Left
125,120,56,67,34,130,115,60,67,33,Left
119,119,65,61,34,121,117,64,61,33,Left
110,141,66,63,34,113,141,66,64,34,Forward
126,136,81,64,34,130,136,80,64,34,Forward
146,138,77,60,36,148,139,76,59,36,Forward
186,157,86,61,38,184,159,84,62,37,Forward
212,146,86,59,37,214,146,83,60,36,Forward
210,145,81,60,38,211,145,81,62,37,Forward
196,154,74,60,40,195,155,70,60,39,Forward
208,138,86,62,38,203,137,86,62,37,Forward
192,124,59,64,35,190,123,59,64,35,Forward
167,123,63,65,35,169,121,63,64,35,Forward
178,115,62,61,37,175,116,62,62,37,Forward
156,124,74,60,35,155,124,75,60,34,Backward
133,125,79,61,34,132,125,80,59,33,Backward
104,143,120,69,31,106,144,119,69,31,Backward
89,155,132,82,37,93,155,129,82,37,Backward
89,160,147,84,37,92,157,145,83,37,Backward
120,181,155,82,38,122,184,153,82,39,Backward
116,179,149,80,34,117,180,147,81,35,Backward
115,159,142,81,36,118,162,141,80,37,Backward
122,176,125,74,35,123,176,125,74,36,Backward
100,174,73,58,35,97,173,72,58,34,Right
101,139,61,59,36,105,134,60,61,35,Right
93,140,59,49,35,94,136,58,51,35,Right
113,128,78,51,36,111,125,78,52,36,Right
106,122,73,53,34,104,119,74,54,34,Right
86,115,71,59,36,84,114,71,59,36,Right
65,111,101,66,39,62,111,101,66,38,Right
142,115,97,72,36,137,115,96,73,37,Right
132,108,82,68,39,133,107,81,70,39,Right
133,104,87,67,39,131,105,86,68,39,Right
