DeltaRight, ThetaRight, AlphaRight, BetaRight, GammaRight, DeltaLeft, ThetaLeft, AlphaLeft, BetaLeft, GammaLeft, DeltaForward, ThetaForward, AlphaForward, BetaForward, GammaForward, DeltaBack, ThetaBack, AlphaBack, BetaBack, GammaBack, Direction
4305,3189,1398,360,441,3969,3181,1494,378,446,4268,3152,1548,390,497,3979,3162,1450,373,492,Right
2388,684,323,155,56,2462,688,326,156,57,2782,694,330,157,57,2258,699,333,159,58,Right
655,86,51,25,11,398,84,50,24,11,724,86,48,25,11,325,85,50,26,11,Right
549,82,53,29,12,215,81,51,29,11,547,82,52,30,11,220,84,54,30,11,Right
522,78,42,35,12,185,76,40,34,11,517,77,41,34,11,192,79,44,36,11,Right
515,84,72,32,11,180,82,69,31,11,512,84,69,31,11,183,86,73,33,11,Right
485,82,68,31,11,156,80,66,30,11,489,82,66,31,11,153,84,69,32,11,Right
486,119,157,89,166,148,118,153,95,171,485,118,151,101,192,149,113,146,100,190,Right
5078,2992,1523,317,922,5038,3112,1574,324,937,5036,3186,1602,333,1043,5047,3066,1549,321,1027,Left
5613,2787,1531,311,922,5290,2873,1585,320,937,5312,2925,1612,330,1043,5349,2837,1560,316,1027,Left
5252,2828,1533,311,922,5035,2910,1586,320,938,5198,2961,1613,329,1043,5037,2877,1561,316,1028,Left
5370,2847,1516,308,920,5027,2909,1574,318,936,5209,2947,1605,327,1040,5024,2884,1547,314,1025,Left
5448,2858,1507,309,915,5033,2940,1557,304,932,5328,2995,1583,305,1031,5000,2934,1525,291,1013,Left
4862,1809,799,367,130,4321,1814,807,373,132,4387,1822,813,377,134,4447,1823,815,378,135,Left
1371,186,80,34,15,848,182,76,32,13,1107,183,79,33,15,1034,182,78,34,14,Left
624,138,66,34,16,320,131,65,32,13,658,139,66,33,14,288,138,64,34,14,Left
507,106,60,28,15,179,103,55,26,13,507,107,54,27,14,175,106,55,27,14,Left
497,115,48,27,15,159,112,47,25,13,487,111,47,25,13,169,115,49,26,13,Left
